"target","gamma","SR_amplitude","SR_average","PD_amplitude","PD_average"
0.1,0.001,"0.005 (5.59%)","0.0896 (-0.1%)","0.004 (5.49%)","0.0733 (-0.27%)"
0.1,0.01,"0.0048 (5.38%)","0.0898 (-0.1%)","0.0041 (5.54%)","0.0735 (-0.27%)"
0.1,0.1,"0.0028 (3.02%)","0.0914 (-0.09%)","0.0041 (5.52%)","0.0745 (-0.26%)"
1.0,0.001,"0.0398 (6.16%)","0.6466 (-0.35%)","0.029 (4.23%)","0.686 (-0.31%)"
1.0,0.01,"0.0422 (6.52%)","0.6465 (-0.35%)","0.0289 (4.22%)","0.6855 (-0.31%)"
1.0,0.1,"0.0358 (5.47%)","0.6539 (-0.35%)","0.0367 (5.24%)","0.6988 (-0.3%)"
10.0,0.001,"0.4071 (6.9%)","5.9003 (-0.41%)","0.6695 (7.84%)","8.5391 (-0.15%)"
10.0,0.01,"0.812 (13.63%)","5.958 (-0.4%)","1.444 (16.89%)","8.5493 (-0.15%)"
10.0,0.1,"0.6843 (11.28%)","6.0661 (-0.39%)","0.8974 (10.36%)","8.6656 (-0.13%)"
